organization_name,source_url,source_domain,official_confirmed,source_type,robots_url,robots_result,terms_url,terms_result,requires_login,has_captcha,javascript_required,recommended_strategy,recommended_frequency,automation_allowed,last_verified_at,notes
国家电网有限公司,https://zhaopin.sgcc.com.cn/,zhaopin.sgcc.com.cn,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,官方招聘公告引用该招聘平台；直连返回412，需人工浏览器复核，暂不自动采集。
中国南方电网有限责任公司,https://zhaopin.csg.cn/,zhaopin.csg.cn,true,招聘官网,,,,,,,true,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,官方招聘系统已打开；页面依赖JavaScript，robots/条款/验证码与允许路径仍待人工核验。
中国移动通信集团有限公司,https://job.10086.cn/,job.10086.cn,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,官方招聘网站及校园招聘列表页已打开；登录边界、robots/条款与允许路径仍待人工核验。
中国电信集团有限公司,https://job.chinatelecom.com.cn/wt/TELE/web/index,job.chinatelecom.com.cn,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,官方招聘入口已定位；当前抓取文本为空，需人工浏览器复核后再决定采集方式。
中国联合网络通信集团有限公司,https://zglt.zhaopin.com/home/index.html,zglt.zhaopin.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,中国联通官网招聘栏目指向该入口；页面内容需人工浏览器复核，暂不自动采集。
中国石油天然气集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国石油化工集团有限公司,https://job.sinopec.com/,job.sinopec.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,中国石化集团官方公告明确该站为毕业生招聘唯一渠道；直连超时，需人工复核可访问性。
中国海洋石油集团有限公司,https://cnooc.zhaopin.com/notice/index.html,cnooc.zhaopin.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,中国海油2026届校园招聘页面已打开；页面正文依赖前端渲染，robots/条款/允许路径仍待人工核验。
国家石油天然气管网集团有限公司,https://pipechina.hotjob.cn/,pipechina.hotjob.cn,true,招聘官网,,,,,,,true,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,国家管网官方招聘公告给出该报名平台，直连跳转至wecruit.hotjob.cn并提示需要JavaScript，暂不自动采集。
国家能源投资集团有限责任公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
